<Ticker>,<Per>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
FEROS,d,20010415,000000,1,1,1,1,139
FEROS,d,20010422,000000,1,1,1,1,15859
FEROS,d,20010423,000000,1,1,1,1,3000
FEROS,d,20010424,000000,1,1,1,1,4467
FEROS,d,20010428,000000,1,1,1,1,8000
FEROS,d,20010429,000000,1,1,1,1,7008
FEROS,d,20010430,000000,1,1,1,1,7936
FEROS,d,20010501,000000,1,1,1,1,8500
FEROS,d,20010507,000000,1,1,1,1,5000
FEROS,d,20010509,000000,2,2,2,2,2000
FEROS,d,20010512,000000,2,2,2,2,12500
FEROS,d,20010521,000000,2,2,2,2,15665
FEROS,d,20010523,000000,2,2,2,2,18340
FEROS,d,20010526,000000,2,2,2,2,9860
FEROS,d,20010527,000000,2,2,2,2,9139
FEROS,d,20010528,000000,2,2,2,2,21000
FEROS,d,20010529,000000,2,2,2,2,7840
FEROS,d,20010530,000000,2,2,2,2,62360
FEROS,d,20010602,000000,2,2,2,2,19738
FEROS,d,20010603,000000,2,2,2,2,18784
FEROS,d,20010609,000000,2,2,2,2,42215
FEROS,d,20010710,000000,2,2,2,2,500
FEROS,d,20010714,000000,2,2,2,2,154
FEROS,d,20010716,000000,2,2,2,2,13818
FEROS,d,20010717,000000,2,2,2,2,1182
FEROS,d,20010721,000000,2,2,2,2,1436
FEROS,d,20010722,000000,2,2,2,2,10000
FEROS,d,20010723,000000,2,2,2,2,16000
FEROS,d,20010725,000000,2,2,2,2,6561
FEROS,d,20010728,000000,2,2,2,2,59050
FEROS,d,20010729,000000,2,2,2,2,5000
FEROS,d,20010730,000000,2,2,2,2,10731
FEROS,d,20010801,000000,2,2,2,2,34835
FEROS,d,20010806,000000,2,2,2,2,2200
FEROS,d,20010807,000000,2,2,2,2,4236
FEROS,d,20010811,000000,2,2,2,2,21000
FEROS,d,20010812,000000,2,2,2,2,38056
FEROS,d,20010813,000000,2,2,2,2,30000
FEROS,d,20010814,000000,2,2,2,2,5000
FEROS,d,20010815,000000,2,2,2,2,3000
FEROS,d,20010818,000000,2,2,2,2,10000
FEROS,d,20010819,000000,2,2,2,2,18316
FEROS,d,20010820,000000,2,2,2,2,15000
FEROS,d,20010821,000000,2,2,2,2,16000
FEROS,d,20010822,000000,2,2,2,2,11316
FEROS,d,20010825,000000,2,2,2,2,8000
FEROS,d,20010827,000000,2,2,2,2,17651
FEROS,d,20010829,000000,2,2,2,2,5000
FEROS,d,20010903,000000,2,2,2,2,37000
FEROS,d,20010904,000000,2,2,2,2,15559
FEROS,d,20010905,000000,2,2,2,2,5000
FEROS,d,20010908,000000,2,2,2,2,1000
FEROS,d,20010909,000000,2,2,2,2,47961
FEROS,d,20010911,000000,2,2,2,2,27368
FEROS,d,20010915,000000,2,2,2,2,7000
FEROS,d,20010919,000000,2,2,2,2,68066
FEROS,d,20010922,000000,2,2,2,2,42430
FEROS,d,20010926,000000,2,2,2,2,9110
FEROS,d,20011003,000000,2,2,2,2,2000
FEROS,d,20011007,000000,2,2,2,2,63000
FEROS,d,20011010,000000,2,2,2,2,5000
FEROS,d,20011013,000000,2,2,2,2,12290
FEROS,d,20011017,000000,2,2,2,2,2265
FEROS,d,20011119,000000,1,1,1,1,500
FEROS,d,20011120,000000,1,1,1,1,3986
FEROS,d,20011126,000000,1,1,1,1,1486
FEROS,d,20011127,000000,1,1,1,1,4322
FEROS,d,20011204,000000,2,2,2,2,13579
FEROS,d,20011210,000000,2,2,2,2,4808
FEROS,d,20011217,000000,2,2,2,2,4007
FEROS,d,20011226,000000,2,2,2,2,977
FEROS,d,20011230,000000,2,2,2,2,1000
FEROS,d,20020106,000000,2,2,2,2,4000
FEROS,d,20020108,000000,2,2,2,2,4903
FEROS,d,20020112,000000,2,2,1,1,101000
FEROS,d,20020113,000000,1,1,1,1,2000
FEROS,d,20020114,000000,1,1,1,1,3000
FEROS,d,20020115,000000,1,1,1,1,13556
FEROS,d,20020116,000000,1,1,1,1,3287
FEROS,d,20020120,000000,1,1,1,1,15127
FEROS,d,20020202,000000,1,1,1,1,1579
FEROS,d,20020203,000000,1,1,1,1,40502
FEROS,d,20020210,000000,1,1,1,1,152002
FEROS,d,20020212,000000,2,2,1,2,765567
FEROS,d,20020213,000000,1,1,1,1,196
FEROS,d,20020216,000000,1,2,1,2,11000
FEROS,d,20020217,000000,2,2,2,2,28980
FEROS,d,20020218,000000,2,2,2,2,500
FEROS,d,20020226,000000,2,2,2,2,1000
FEROS,d,20020306,000000,2,2,2,2,196
FEROS,d,20020319,000000,2,2,2,2,10000
FEROS,d,20020413,000000,1,1,1,1,4000
FEROS,d,20020415,000000,1,1,1,1,2500
FEROS,d,20020416,000000,1,1,1,1,2382
FEROS,d,20020430,000000,2,2,2,2,63998
FEROS,d,20020501,000000,2,2,2,2,136698
FEROS,d,20020714,000000,2,2,2,2,1000
FEROS,d,20020715,000000,2,2,2,2,1000
FEROS,d,20020720,000000,2,2,2,2,1000
FEROS,d,20020722,000000,2,2,2,2,826
FEROS,d,20020724,000000,2,2,2,2,85354
FEROS,d,20020727,000000,2,2,2,2,6000
FEROS,d,20020728,000000,2,2,2,2,17000
FEROS,d,20020729,000000,2,2,2,2,72000
FEROS,d,20020730,000000,2,2,2,2,8780
FEROS,d,20020731,000000,2,2,2,2,43386
FEROS,d,20020803,000000,2,2,2,2,2000
FEROS,d,20020804,000000,2,2,2,2,489
FEROS,d,20020826,000000,2,2,2,2,1000
FEROS,d,20020902,000000,2,2,2,2,28638
FEROS,d,20020903,000000,2,2,2,2,1000
FEROS,d,20020904,000000,2,2,2,2,37095
FEROS,d,20020908,000000,2,2,2,2,51145
FEROS,d,20020911,000000,2,2,2,2,126076
