<Ticker>,<Per>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GHEBAHAR,d,20190904,000000,9464,9464,9464,9464,11600000
GHEBAHAR,d,20190916,000000,10031,10031,10031,10031,307075
GHEBAHAR,d,20190917,000000,10332,10332,10332,10332,56133
GHEBAHAR,d,20190918,000000,10332,10332,9753,10107,3656959
GHEBAHAR,d,20190921,000000,10303,10332,9730,10332,1961214
GHEBAHAR,d,20190922,000000,10331,10332,10128,10332,832720
GHEBAHAR,d,20190923,000000,10332,10952,10332,10952,15466
GHEBAHAR,d,20190924,000000,11281,11281,10959,11281,2046207
GHEBAHAR,d,20190925,000000,11617,11617,11461,11617,721431
GHEBAHAR,d,20190928,000000,11965,11965,11965,11965,2110
GHEBAHAR,d,20190929,000000,12324,12324,12199,12324,1682395
GHEBAHAR,d,20190930,000000,12687,12687,12687,12687,3601
GHEBAHAR,d,20191001,000000,13067,13067,13067,13067,374329
GHEBAHAR,d,20191002,000000,13438,13459,13107,13459,380983
GHEBAHAR,d,20191005,000000,13840,13840,13840,13840,256695
GHEBAHAR,d,20191006,000000,14254,14254,14243,14254,1892506
GHEBAHAR,d,20191007,000000,14681,14681,14681,14681,741
GHEBAHAR,d,20191008,000000,15121,15121,14241,15121,2170156
GHEBAHAR,d,20191009,000000,14678,15416,14678,15416,358571
GHEBAHAR,d,20191012,000000,15822,15826,15624,15826,915728
GHEBAHAR,d,20191013,000000,16235,16235,15347,15347,1056509
GHEBAHAR,d,20191014,000000,14977,14977,14977,14977,21842
GHEBAHAR,d,20191015,000000,14529,14529,14529,14529,9382
GHEBAHAR,d,20191016,000000,14093,14093,14093,14093,19268
GHEBAHAR,d,20191020,000000,13389,13389,13389,13389,5075
GHEBAHAR,d,20191021,000000,12988,13528,12988,13221,1535215
GHEBAHAR,d,20191022,000000,13394,13394,12614,12689,373887
GHEBAHAR,d,20191023,000000,13250,13384,12681,13154,559215
GHEBAHAR,d,20191026,000000,13389,13438,12681,13391,478951
GHEBAHAR,d,20191028,000000,13438,13439,12658,12658,1003456
