<Ticker>,<Per>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GHEMAHRA,d,20010403,000000,-1,-1,-1,-1,300
GHEMAHRA,d,20010421,000000,-1,-1,-1,-1,21155
GHEMAHRA,d,20010422,000000,-1,-1,-1,-1,4390
GHEMAHRA,d,20010423,000000,-1,-1,-1,-1,1000
GHEMAHRA,d,20010425,000000,-1,-1,-1,-1,3323
GHEMAHRA,d,20010428,000000,-1,-1,-1,-1,166276
GHEMAHRA,d,20010429,000000,-1,-1,-1,-1,188613
GHEMAHRA,d,20010430,000000,-1,-1,-1,-1,40000
GHEMAHRA,d,20010501,000000,-1,-1,-1,-1,1716
GHEMAHRA,d,20010502,000000,-1,-1,-1,-1,31000
GHEMAHRA,d,20010505,000000,-1,-1,-1,-1,1000
GHEMAHRA,d,20010506,000000,-1,-1,-1,-1,1500
GHEMAHRA,d,20010507,000000,-1,-1,-1,-1,382500
GHEMAHRA,d,20010508,000000,-1,-1,-1,-1,8190
GHEMAHRA,d,20010616,000000,-1,-1,-1,-1,150207
GHEMAHRA,d,20010617,000000,-1,-1,-1,-1,52025
GHEMAHRA,d,20010618,000000,-1,-1,-1,-1,265107
GHEMAHRA,d,20010619,000000,-1,-1,-1,-1,136738
GHEMAHRA,d,20010620,000000,-1,-1,-1,-1,107860
GHEMAHRA,d,20010623,000000,-1,-1,-1,-1,24400
GHEMAHRA,d,20010624,000000,-1,-1,-1,-1,19725
GHEMAHRA,d,20010625,000000,-1,-1,-1,-1,11500
GHEMAHRA,d,20010626,000000,-1,-1,-1,-1,28500
GHEMAHRA,d,20010627,000000,-1,-1,-1,-1,74882
GHEMAHRA,d,20010630,000000,-1,-1,-1,-1,36050
GHEMAHRA,d,20010701,000000,-1,-1,-1,-1,34000
GHEMAHRA,d,20010702,000000,-1,-1,-1,-1,64000
GHEMAHRA,d,20010703,000000,-1,-1,-1,-1,67266
GHEMAHRA,d,20010704,000000,-1,-1,-1,-1,225935
GHEMAHRA,d,20010707,000000,-1,-1,-1,-1,222159
GHEMAHRA,d,20010708,000000,-1,-1,-1,-1,66917
GHEMAHRA,d,20010709,000000,-1,-1,-1,-1,16098
GHEMAHRA,d,20010710,000000,-1,-1,-1,-1,57600
GHEMAHRA,d,20010711,000000,-1,-1,-1,-1,19334
GHEMAHRA,d,20010819,000000,-2,-2,-1,-2,84723
GHEMAHRA,d,20010820,000000,-2,-2,-1,-1,45764
GHEMAHRA,d,20010821,000000,-1,-1,-1,-1,553
