<Ticker>,<Per>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GHESABET,d,20010407,000000,9,9,9,9,8200
GHESABET,d,20010408,000000,9,9,9,9,1400
GHESABET,d,20010409,000000,9,9,9,9,686
GHESABET,d,20010410,000000,9,9,9,9,11000
GHESABET,d,20010411,000000,9,9,9,9,42100
GHESABET,d,20010414,000000,9,9,9,9,7869
GHESABET,d,20010416,000000,9,9,9,9,750
GHESABET,d,20010417,000000,9,9,9,9,13201
GHESABET,d,20010422,000000,9,9,9,9,41358
GHESABET,d,20010423,000000,9,9,9,9,6000
GHESABET,d,20010424,000000,9,9,9,9,40237
GHESABET,d,20010428,000000,9,9,9,9,51589
GHESABET,d,20010429,000000,9,9,9,9,29660
GHESABET,d,20010430,000000,9,9,9,9,377
GHESABET,d,20010501,000000,9,9,9,9,2254
GHESABET,d,20010502,000000,9,9,9,9,9000
GHESABET,d,20010505,000000,9,9,9,9,20000
GHESABET,d,20010506,000000,9,9,9,9,9610
GHESABET,d,20010507,000000,9,9,9,9,13730
GHESABET,d,20010508,000000,9,9,9,9,156
GHESABET,d,20010509,000000,9,9,9,9,12496
GHESABET,d,20010512,000000,9,9,9,9,32465
GHESABET,d,20010513,000000,9,9,9,9,656
GHESABET,d,20010515,000000,9,9,9,9,1211
GHESABET,d,20010516,000000,9,9,9,9,68948
GHESABET,d,20010519,000000,9,9,9,9,26578
GHESABET,d,20010520,000000,9,9,9,9,4044
GHESABET,d,20010527,000000,9,9,9,9,2700
GHESABET,d,20010528,000000,9,9,9,9,225
GHESABET,d,20010530,000000,9,9,9,9,7523
GHESABET,d,20010602,000000,9,9,9,9,617
GHESABET,d,20010603,000000,9,9,9,9,12572
GHESABET,d,20010606,000000,10,10,10,10,198
GHESABET,d,20010609,000000,10,10,10,10,30502
GHESABET,d,20010613,000000,10,10,10,10,1000
GHESABET,d,20010616,000000,10,10,10,10,562
GHESABET,d,20010619,000000,10,10,10,10,8558
GHESABET,d,20010620,000000,10,10,10,10,2000
GHESABET,d,20010623,000000,10,10,10,10,20823
GHESABET,d,20010624,000000,10,10,10,10,3000
GHESABET,d,20010627,000000,10,10,10,10,2000
GHESABET,d,20010701,000000,10,10,10,10,9436
GHESABET,d,20010702,000000,10,10,10,10,1948
GHESABET,d,20010703,000000,10,10,10,10,1000
GHESABET,d,20010707,000000,10,10,10,10,28282
GHESABET,d,20010714,000000,10,10,10,10,948
GHESABET,d,20010716,000000,10,10,10,10,1050
GHESABET,d,20010717,000000,10,10,10,10,2000
GHESABET,d,20010721,000000,10,10,10,10,1064
GHESABET,d,20010722,000000,10,10,9,9,65530
GHESABET,d,20010724,000000,9,9,9,9,20000
GHESABET,d,20010725,000000,9,9,9,9,7000
GHESABET,d,20010728,000000,9,9,9,9,18363
GHESABET,d,20010729,000000,9,9,9,9,14947
GHESABET,d,20010731,000000,9,9,9,9,25321
GHESABET,d,20010805,000000,9,9,9,9,8550
GHESABET,d,20010806,000000,9,9,9,9,23434
GHESABET,d,20010807,000000,9,9,9,9,7000
GHESABET,d,20010811,000000,9,9,9,9,4185
GHESABET,d,20010812,000000,9,9,9,9,10214
GHESABET,d,20010814,000000,9,9,9,9,7575
GHESABET,d,20010818,000000,9,9,9,9,69
GHESABET,d,20010821,000000,9,9,9,9,4451
GHESABET,d,20010822,000000,9,9,9,9,6210
GHESABET,d,20010825,000000,9,9,9,9,854
GHESABET,d,20010826,000000,9,9,9,9,5997
GHESABET,d,20010827,000000,9,9,9,9,4167
GHESABET,d,20010828,000000,9,9,9,9,207
GHESABET,d,20010902,000000,9,9,9,9,59644
GHESABET,d,20010904,000000,9,9,9,9,2000
GHESABET,d,20010905,000000,9,9,9,9,31196
GHESABET,d,20010908,000000,9,9,9,9,832
GHESABET,d,20010909,000000,9,9,9,9,3000
GHESABET,d,20010912,000000,9,9,9,9,1917
GHESABET,d,20010917,000000,9,9,9,9,16250
GHESABET,d,20010924,000000,9,9,9,9,45004
GHESABET,d,20010926,000000,9,9,9,9,5000
GHESABET,d,20010929,000000,9,9,9,9,763
GHESABET,d,20010930,000000,9,9,9,9,6192
GHESABET,d,20011002,000000,9,9,9,9,681
GHESABET,d,20011003,000000,9,9,9,9,540
GHESABET,d,20011007,000000,9,9,9,9,12328
GHESABET,d,20011009,000000,9,9,9,9,6298
GHESABET,d,20011014,000000,9,9,9,9,533
GHESABET,d,20011016,000000,9,9,9,9,15457
GHESABET,d,20011017,000000,9,9,9,9,7081
GHESABET,d,20011020,000000,9,9,9,9,12890
GHESABET,d,20011022,000000,9,9,9,9,7303
GHESABET,d,20011024,000000,9,9,9,9,36975
GHESABET,d,20011027,000000,9,9,9,9,6393
GHESABET,d,20011028,000000,9,9,9,9,13142
GHESABET,d,20011031,000000,9,9,9,9,4831
GHESABET,d,20011103,000000,9,9,9,9,2051
GHESABET,d,20011104,000000,9,9,9,9,45387
GHESABET,d,20011105,000000,9,9,9,9,7180
GHESABET,d,20011106,000000,9,9,9,9,2872
GHESABET,d,20011107,000000,9,9,9,9,25547
GHESABET,d,20011110,000000,9,9,9,9,4924
GHESABET,d,20011111,000000,9,9,9,9,112
GHESABET,d,20011112,000000,9,9,9,9,60000
GHESABET,d,20011113,000000,10,10,10,10,896
GHESABET,d,20011212,000000,9,9,9,9,1000
GHESABET,d,20011217,000000,9,9,9,9,28266
GHESABET,d,20011222,000000,9,9,9,9,3774
GHESABET,d,20011223,000000,9,9,9,9,7016
GHESABET,d,20011225,000000,9,9,9,9,13695
GHESABET,d,20011226,000000,9,9,9,9,3398
GHESABET,d,20011229,000000,9,9,9,9,2000
GHESABET,d,20011230,000000,10,10,10,10,11517
