<Ticker>,<Per>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GHESHESFA,d,20030615,000000,30,31,30,31,1342983
GHESHESFA,d,20030616,000000,31,31,31,31,9000
GHESHESFA,d,20030617,000000,31,31,31,31,6750
GHESHESFA,d,20030618,000000,31,31,31,31,12625
GHESHESFA,d,20030621,000000,31,31,31,31,8000
GHESHESFA,d,20030622,000000,32,32,32,32,9376
GHESHESFA,d,20030623,000000,33,33,32,33,22268
GHESHESFA,d,20030624,000000,33,34,33,34,12248
GHESHESFA,d,20030625,000000,36,36,36,36,22782
GHESHESFA,d,20030628,000000,38,38,36,36,62298
GHESHESFA,d,20030629,000000,37,37,37,37,14700
GHESHESFA,d,20030630,000000,38,38,37,37,53952
GHESHESFA,d,20030701,000000,39,39,37,37,25861
GHESHESFA,d,20030702,000000,38,39,37,37,20330
GHESHESFA,d,20030705,000000,37,37,37,37,21917
GHESHESFA,d,20030706,000000,37,39,37,38,37720
GHESHESFA,d,20030707,000000,38,38,38,38,5000
GHESHESFA,d,20030708,000000,40,40,38,40,28000
GHESHESFA,d,20030709,000000,40,40,40,40,2000
GHESHESFA,d,20030712,000000,42,42,42,42,9000
GHESHESFA,d,20030713,000000,44,44,44,44,14000
GHESHESFA,d,20030714,000000,46,46,46,46,1400
GHESHESFA,d,20030715,000000,49,49,49,49,1500
GHESHESFA,d,20030716,000000,49,49,49,49,54132
GHESHESFA,d,20030719,000000,49,49,49,49,18010
GHESHESFA,d,20030720,000000,49,49,49,49,5751
GHESHESFA,d,20030722,000000,48,48,47,47,2337
GHESHESFA,d,20030723,000000,44,44,44,44,5464
GHESHESFA,d,20030726,000000,44,44,44,44,548
GHESHESFA,d,20030727,000000,44,45,44,45,9945
GHESHESFA,d,20030728,000000,45,45,45,45,28344
GHESHESFA,d,20030729,000000,45,45,45,45,20270
GHESHESFA,d,20030730,000000,45,45,45,45,2000
GHESHESFA,d,20030803,000000,45,45,45,45,2447
GHESHESFA,d,20030804,000000,45,45,45,45,7100
GHESHESFA,d,20030805,000000,45,45,44,44,415896
GHESHESFA,d,20030806,000000,44,44,44,44,10000
GHESHESFA,d,20030809,000000,44,44,44,44,64000
GHESHESFA,d,20030811,000000,44,44,44,44,99200
GHESHESFA,d,20030812,000000,44,44,44,44,700
GHESHESFA,d,20030813,000000,45,45,45,45,2491
GHESHESFA,d,20030817,000000,44,44,44,44,119068
GHESHESFA,d,20030818,000000,44,44,44,44,8581
GHESHESFA,d,20030819,000000,44,44,44,44,4832
GHESHESFA,d,20030820,000000,44,44,44,44,6820
GHESHESFA,d,20030823,000000,45,45,45,45,29895
GHESHESFA,d,20030826,000000,45,45,45,45,5453
GHESHESFA,d,20030830,000000,45,47,45,45,72100
GHESHESFA,d,20030831,000000,45,45,45,45,423
GHESHESFA,d,20030908,000000,45,45,45,45,6290
GHESHESFA,d,20030909,000000,46,47,45,45,4910
GHESHESFA,d,20030913,000000,46,46,45,45,429
GHESHESFA,d,20030916,000000,46,46,45,45,510
GHESHESFA,d,20030920,000000,46,46,45,45,1210
GHESHESFA,d,20030921,000000,47,47,46,46,3010
GHESHESFA,d,20031130,000000,47,47,47,47,1000
GHESHESFA,d,20040107,000000,49,49,47,47,1510
GHESHESFA,d,20040118,000000,49,49,49,49,20000
GHESHESFA,d,20040119,000000,52,52,49,49,485
GHESHESFA,d,20040124,000000,52,52,52,52,25000
GHESHESFA,d,20040125,000000,54,54,54,54,20000
GHESHESFA,d,20040126,000000,57,57,55,55,5010
GHESHESFA,d,20040127,000000,58,58,55,55,2010
GHESHESFA,d,20040203,000000,58,58,55,57,545860
