<Ticker>,<Per>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GHESHIR,d,20010408,000000,151,151,151,151,1901
GHESHIR,d,20010411,000000,155,155,155,155,6628
GHESHIR,d,20010414,000000,157,159,157,159,2830
GHESHIR,d,20010415,000000,162,165,162,165,2370
GHESHIR,d,20010416,000000,168,168,168,168,5000
GHESHIR,d,20010417,000000,173,173,173,173,2500
GHESHIR,d,20010418,000000,177,178,177,177,2300
GHESHIR,d,20010421,000000,179,179,179,179,1000
GHESHIR,d,20010423,000000,188,188,188,188,2500
GHESHIR,d,20010424,000000,198,198,198,198,3000
GHESHIR,d,20010425,000000,198,198,198,198,1000
GHESHIR,d,20010428,000000,200,201,200,201,2000
GHESHIR,d,20010429,000000,201,201,201,201,2050
GHESHIR,d,20010430,000000,201,201,198,198,8845
GHESHIR,d,20010502,000000,188,188,188,188,1650
GHESHIR,d,20010506,000000,188,188,188,188,4770
GHESHIR,d,20010507,000000,188,188,188,188,2468
GHESHIR,d,20010508,000000,188,188,188,188,2482
GHESHIR,d,20010509,000000,188,188,188,188,703
GHESHIR,d,20010513,000000,189,189,189,189,4050
GHESHIR,d,20010515,000000,189,189,189,189,5000
GHESHIR,d,20010516,000000,186,186,186,186,3000
GHESHIR,d,20010519,000000,188,188,188,188,1435
GHESHIR,d,20010520,000000,189,189,189,189,5010
GHESHIR,d,20010521,000000,189,189,189,189,601
GHESHIR,d,20010527,000000,189,189,189,189,2000
GHESHIR,d,20010528,000000,189,189,189,189,3342
GHESHIR,d,20010529,000000,189,189,189,189,2000
GHESHIR,d,20010603,000000,189,189,189,189,600
GHESHIR,d,20010606,000000,189,189,189,189,7200
GHESHIR,d,20010609,000000,195,196,195,196,2500
GHESHIR,d,20010612,000000,197,197,197,197,573
GHESHIR,d,20010619,000000,197,197,197,197,4000
GHESHIR,d,20010620,000000,190,197,190,197,4916
GHESHIR,d,20010624,000000,197,197,197,197,3143
GHESHIR,d,20010702,000000,191,197,191,197,6500
GHESHIR,d,20010709,000000,191,197,191,197,5532
GHESHIR,d,20010710,000000,197,197,197,197,50
GHESHIR,d,20010801,000000,195,195,195,195,1500
GHESHIR,d,20010804,000000,195,197,195,197,10120
GHESHIR,d,20010805,000000,197,197,197,197,2000
GHESHIR,d,20010806,000000,197,200,197,200,3970
GHESHIR,d,20010807,000000,200,200,200,200,250
GHESHIR,d,20010808,000000,200,200,200,200,135
GHESHIR,d,20010812,000000,200,201,200,201,2250
GHESHIR,d,20010818,000000,205,206,205,206,3590
GHESHIR,d,20010820,000000,206,206,206,206,4746
GHESHIR,d,20010821,000000,206,208,206,208,2000
GHESHIR,d,20010822,000000,206,208,206,208,3663
