<Ticker>,<Per>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
HAFARI,d,20090722,000000,154,154,153,153,153444300
HAFARI,d,20090725,000000,158,158,158,158,23220000
HAFARI,d,20090726,000000,163,163,163,163,40016500
HAFARI,d,20090727,000000,168,168,168,168,20657047
HAFARI,d,20090728,000000,173,173,173,173,51305912
HAFARI,d,20090729,000000,178,178,178,178,105022856
HAFARI,d,20090801,000000,182,183,181,183,48792301
HAFARI,d,20090802,000000,188,188,182,182,37159188
HAFARI,d,20090803,000000,183,185,181,181,26379429
HAFARI,d,20090804,000000,177,184,177,184,31105885
HAFARI,d,20090805,000000,184,185,184,185,24931184
HAFARI,d,20090808,000000,190,190,190,190,1073152
HAFARI,d,20090809,000000,195,195,195,195,1220409
HAFARI,d,20090810,000000,200,200,193,200,78305255
HAFARI,d,20090811,000000,205,206,200,206,23104730
HAFARI,d,20090812,000000,211,211,211,211,7053224
HAFARI,d,20090815,000000,217,217,217,217,5849046
HAFARI,d,20090816,000000,223,224,219,224,73706455
HAFARI,d,20090823,000000,250,258,240,256,40283775
HAFARI,d,20090824,000000,256,256,248,256,19577093
HAFARI,d,20090825,000000,257,262,253,262,26429727
HAFARI,d,20090826,000000,269,269,264,269,21296394
HAFARI,d,20090829,000000,277,277,261,261,32108236
HAFARI,d,20090830,000000,260,264,258,258,4164432
HAFARI,d,20090831,000000,251,263,251,258,42877882
HAFARI,d,20090901,000000,260,260,260,260,13405447
HAFARI,d,20090902,000000,268,268,268,268,1312162
HAFARI,d,20090905,000000,276,276,260,265,51552922
HAFARI,d,20090906,000000,264,264,262,262,11180004
HAFARI,d,20090907,000000,254,254,254,254,251643
HAFARI,d,20090908,000000,255,264,253,259,22026384
HAFARI,d,20090909,000000,263,263,249,249,15966200
HAFARI,d,20090913,000000,244,244,244,244,159750
HAFARI,d,20090914,000000,243,243,243,243,332927
HAFARI,d,20090915,000000,241,241,241,241,146736
HAFARI,d,20090916,000000,240,240,240,240,1503513
HAFARI,d,20090919,000000,236,248,236,247,10340574
HAFARI,d,20090921,000000,249,250,242,250,12629213
HAFARI,d,20090922,000000,254,255,248,255,5479777
HAFARI,d,20090923,000000,262,262,262,262,6901123
HAFARI,d,20090926,000000,264,266,254,257,20492644
HAFARI,d,20090927,000000,251,251,251,251,1851164
HAFARI,d,20090928,000000,244,249,244,244,21359215
HAFARI,d,20090929,000000,245,252,245,252,4623594
HAFARI,d,20090930,000000,254,257,250,252,13377826
HAFARI,d,20091003,000000,260,260,260,260,1171142
HAFARI,d,20091004,000000,267,267,261,267,31760071
HAFARI,d,20091005,000000,269,274,262,274,22751126
HAFARI,d,20091006,000000,282,282,282,282,1797145
HAFARI,d,20091007,000000,291,291,291,291,1328025
